Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-04-13,infy,1759.45,1759.45,1732.25,1748.65,201207
2022-04-12,infy,1759,1759,1727.5,1741.45,324512
2022-04-11,infy,1818.95,1818.95,1763,1766.65,556339
2022-04-08,infy,1823.7,1838,1808.4,1815.1,188138
2022-04-07,infy,1825,1828,1807.8,1811.5,185022
2022-04-06,infy,1853.1,1856.95,1822.1,1828.45,270222
2022-04-05,infy,1886,1889.75,1857.2,1861.1,189838
2022-04-04,infy,1895.2,1895.2,1873.5,1882.45,296103
2022-04-01,infy,1894,1909.95,1878.95,1902.35,189288
2022-03-31,infy,1908,1912.9,1894.3,1907.2,181774
2022-03-30,infy,1907,1918.5,1895.2,1917.7,628590
2022-03-29,infy,1872.9,1889.35,1860.6,1885.9,249709
2022-03-28,infy,1873.8,1880.4,1853,1873.45,174343
2022-03-25,infy,1887,1894.8,1858,1876.4,220204
2022-03-24,infy,1853,1894.1,1853,1886.85,82466
2022-03-23,infy,1896.15,1900,1857.1,1871.85,175874
2022-03-22,infy,1854.7,1889.9,1840,1887.3,152591
2022-03-21,infy,1876,1886.55,1841.5,1852.6,356094
2022-03-17,infy,1922.6,1924,1833.85,1854.4,299253
2022-03-16,infy,1873,1893.9,1851,1888.65,197005
2022-03-15,infy,1893,1893,1830,1839.15,319474
2022-03-14,infy,1827,1894.7,1827,1890.8,442681
2022-03-11,infy,1814,1833,1811.25,1822.3,170330
2022-03-10,infy,1838,1847.7,1810.1,1824.8,334472
2022-03-09,infy,1794,1831,1788.95,1813.45,2826476
2022-03-08,infy,1715,1800,1715,1778.45,294435
2022-03-07,infy,1695,1750.6,1695,1739.55,548075
2022-03-04,infy,1697,1735.75,1681,1723.55,169550
2022-03-03,infy,1720,1733.7,1705.6,1720.55,343218
2022-03-02,infy,1710,1714.2,1691,1703.1,220920
2022-02-28,infy,1684,1727.95,1665,1717.3,135310
2022-02-25,infy,1706,1718.9,1677.2,1693.9,2867333
2022-02-24,infy,1682,1714.7,1670.15,1677.5,731809
2022-02-23,infy,1750,1758,1733.65,1743.35,212440
2022-02-22,infy,1690.05,1750,1690.05,1734.15,207717
2022-02-21,infy,1698,1737,1691.15,1730.6,202580
2022-02-18,infy,1703.3,1722.5,1703.3,1707.1,265062
2022-02-17,infy,1747,1747.4,1720.5,1725.35,127749
2022-02-16,infy,1739.95,1755.1,1727.2,1732.75,198350
2022-02-15,infy,1695,1746,1691,1738.25,599584
2022-02-14,infy,1690,1718.45,1678.4,1683,169432
2022-02-11,infy,1740,1748.35,1713.25,1721,203337
2022-02-10,infy,1757,1774,1749,1768.85,235437
2022-02-09,infy,1730,1742.8,1725.05,1737.5,48350
2022-02-08,infy,1712,1724.7,1696,1716.55,143574
2022-02-07,infy,1725,1732.3,1696,1714.85,146147
2022-02-04,infy,1725,1754,1710.3,1740.95,219991
2022-02-03,infy,1779.9,1779.9,1733.7,1738.7,281493
